"n","TW","S","h","z","w_fp","z_fp","n_fp","XS_spacing","L","b","A_bf","P_bf","Q_bf","Geometry","Qp","Qd","Geometry2","Run"
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",4.5,60,"017",153
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",2.5,10,"018",154
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",3.5,10,"018",155
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",4.5,10,"018",156
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",2.5,30,"018",157
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",3.5,30,"018",158
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",4.5,30,"018",159
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",2.5,60,"018",160
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",3.5,60,"018",161
0.03,1000,0.001,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,14888.4448739539,"018",4.5,60,"018",162
